time,latitude,longitude,depth,mag,place,type,year,month
1905-08-25 20:40:53+00:00,41.981,13.776,15.0,5.21,southern Italy,earthquake,1905,August
1905-09-15 06:02:00+00:00,52.06,-171.45,33.0,7.4,"188 km E of Atka, Alaska",earthquake,1905,September
1905-11-18 00:20:00+00:00,40.932,22.241,15.0,5.45,"8 km NNE of Mándalo, Greece",earthquake,1905,November
1905-12-10 12:36:00+00:00,53.88,-161.66,33.0,6.9,"138 km SSE of King Cove, Alaska",earthquake,1905,December
1906-04-23 09:10:00+00:00,41.0,-124.0,33.0,6.4,"4 km NE of Fieldbrook, California",earthquake,1906,April
1906-04-19 00:30:00+00:00,32.9,-115.5,33.0,6.28,"8 km NE of Imperial, California",earthquake,1906,April
1906-12-23 17:22:00+00:00,56.85,-153.9,33.0,7.3,"19 km ESE of Akhiok, Alaska",earthquake,1906,December
1907-08-22 22:24:00+00:00,57.0,-161.0,120.0,6.5,"112 km N of Nelson Lagoon, Alaska",earthquake,1907,August
1907-09-20 01:54:00+00:00,34.2,-117.1,33.0,5.3,"1 km SE of Running Springs, California",earthquake,1907,September
1907-09-02 16:01:00+00:00,52.59,169.73,33.0,7.4,"235 km W of Attu Station, Alaska",earthquake,1907,September
1908-08-18 10:59:00+00:00,40.8,-124.0,33.0,5.0,"7 km SE of Bayside, California",earthquake,1908,August
1908-09-21 06:31:00+00:00,19.0,-155.0,33.0,6.8,"52 km S of Leilani Estates, Hawaii",earthquake,1908,September
1908-11-04 08:37:00+00:00,36.0,-117.0,33.0,6.5,"44 km NE of Searles Valley, California",earthquake,1908,November
1909-01-11 23:44:00+00:00,49.0,-122.7,33.0,6.0,"3 km ENE of Blaine, Washington",earthquake,1909,January
1909-03-03 12:00:00+00:00,39.4,-120.9,33.0,5.0,"9 km SSW of Alleghany, California",earthquake,1909,March
1909-04-10 19:36:00+00:00,52.0,175.0,33.0,7.0,"155 km SE of Attu Station, Alaska",earthquake,1909,April
1909-05-26 14:42:00+00:00,41.6,-88.1,33.0,5.1,"3 km WNW of Lockport, Illinois",earthquake,1909,May
1909-05-16 04:15:00+00:00,49.0,-104.0,33.0,5.5,"14 km NNE of Westby, Montana",earthquake,1909,May
1909-06-23 07:24:00+00:00,39.4,-120.8,33.0,5.7,"4 km N of Washington, California",earthquake,1909,June
1909-09-27 09:45:00+00:00,39.8,-87.2,33.0,5.1,"4 km NNE of Rockville, Indiana",earthquake,1909,September
1909-10-29 06:45:00+00:00,40.5,-124.2,33.0,6.4,"7 km W of Rio Dell, California",earthquake,1909,October
1910-03-19 00:11:00+00:00,40.0,-125.0,33.0,6.0,"79 km W of Shelter Cove, California",earthquake,1910,March
1910-03-11 06:52:00+00:00,36.9,-121.8,33.0,5.8,"4 km WSW of Watsonville, California",earthquake,1910,March
1910-04-19 08:30:00+00:00,46.0,-112.5,33.0,5.4,"2 km E of Butte, Montana",earthquake,1910,April
1910-04-11 07:57:00+00:00,33.7,-117.4,33.0,5.0,"7 km WNW of Lake Elsinore, California",earthquake,1910,April
1910-05-15 15:47:00+00:00,33.7,-117.4,33.0,5.3,"7 km WNW of Lake Elsinore, California",earthquake,1910,May
1910-05-13 07:58:06+00:00,57.0,-160.0,100.0,6.75,"83 km W of Port Heiden, Alaska",earthquake,1910,May
1910-05-13 06:20:00+00:00,33.7,-117.4,33.0,5.0,"7 km WNW of Lake Elsinore, California",earthquake,1910,May
1910-05-06 16:40:00+00:00,37.33,-118.42,33.0,5.6,"4 km SSW of Bishop, California",earthquake,1910,May
1910-07-29 10:26:38+00:00,-5.297,142.437,15.0,6.58,"80 km WNW of Porgera, Papua New Guinea",earthquake,1910,July
1910-09-09 01:13:18+00:00,50.75,179.38,33.0,7.0,"Rat Islands, Aleutian Islands, Alaska",earthquake,1910,September
1911-04-29 05:28:46+00:00,30.296,56.871,15.0,5.93,"20 km W of Kerman, Iran",earthquake,1911,April
1911-09-17 03:26:00+00:00,51.0,180.0,33.0,7.1,"253 km WSW of Adak, Alaska",earthquake,1911,September
1911-09-13 03:04:12+00:00,56.198,-156.274,35.0,6.12,"132 km E of Chignik, Alaska",earthquake,1911,September
1911-10-14 23:24:00+00:00,30.993,80.336,20.0,6.55,"88 km ENE of Josh?math, India",earthquake,1911,October
1912-01-05 03:52:00+00:00,37.33,-118.42,33.0,5.5,"4 km SSW of Bishop, California",earthquake,1912,January
1912-06-10 16:06:06+00:00,59.0,-153.0,33.0,6.9,"73 km WSW of Nanwalek, Alaska",earthquake,1912,June
1912-06-07 09:55:54+00:00,59.0,-153.0,33.0,6.4,"73 km WSW of Nanwalek, Alaska",earthquake,1912,June
1912-07-07 07:57:00+00:00,63.07,-146.14,33.0,7.2,"26 km W of Paxson, Alaska",earthquake,1912,July
1913-06-22 13:49:52+00:00,48.0,-178.0,33.0,7.2,south of the Aleutian Islands,earthquake,1913,June
1914-02-18 18:17:00+00:00,39.5,-119.8,33.0,6.0,"3 km SSE of Reno, Nevada",earthquake,1914,February
1914-02-10 18:31:00+00:00,44.98,-76.92,33.0,5.2,"53 km W of Perth, Canada",earthquake,1914,February
1914-04-24 08:35:00+00:00,39.5,-119.8,33.0,6.4,"3 km SSE of Reno, Nevada",earthquake,1914,April
1915-01-12 04:31:00+00:00,34.6,-120.2,33.0,5.2,"1 km SSW of Buellton, California",earthquake,1915,January
1915-04-05 23:11:00+00:00,38.58,-119.5,33.0,5.0,California-Nevada border region,earthquake,1915,April
1915-05-29 06:46:00+00:00,36.08,-118.83,33.0,5.0,"5 km S of Springville, California",earthquake,1915,May
1915-06-23 04:56:00+00:00,32.8,-115.5,33.0,5.5,"5 km E of El Centro, California",earthquake,1915,June
1915-06-23 03:59:00+00:00,32.8,-115.5,33.0,5.5,"5 km E of El Centro, California",earthquake,1915,June
1915-08-18 14:04:00+00:00,48.5,-121.4,33.0,5.6,"4 km SE of Marblemount, Washington",earthquake,1915,August
1916-02-21 23:39:00+00:00,35.5,-82.5,33.0,5.2,"3 km NNE of Royal Pines, North Carolina",earthquake,1916,February
1916-02-03 05:03:04+00:00,41.0,-117.8,33.0,5.9,"6 km WNW of Winnemucca, Nevada",earthquake,1916,February
1916-05-13 02:26:00+00:00,44.2,-116.5,33.0,5.3,"32 km WNW of Banks, Idaho",earthquake,1916,May
1916-08-08 16:52:41+00:00,37.0,-122.0,33.0,5.0,"2 km ESE of Pasatiempo, California",earthquake,1916,August
1916-08-06 19:38:00+00:00,36.67,-121.25,33.0,5.3,"14 km SSE of Tres Pinos, California",earthquake,1916,August
1916-08-04 04:12:52+00:00,41.5,-117.0,33.0,5.0,"44 km E of Paradise Valley, Nevada",earthquake,1916,August
1916-08-03 14:22:38+00:00,41.5,-116.5,33.0,5.8,"59 km SSW of Owyhee, Nevada",earthquake,1916,August
1916-08-03 13:49:19+00:00,41.5,-116.5,33.0,5.6,"59 km SSW of Owyhee, Nevada",earthquake,1916,August
1916-10-23 02:54:00+00:00,34.7,-119.0,33.0,5.5,"13 km S of Lake of the Woods, California",earthquake,1916,October
1916-10-23 02:44:00+00:00,34.9,-118.9,33.0,5.96,"7 km NNW of Lebec, California",earthquake,1916,October
1916-10-18 22:04:00+00:00,33.5,-86.5,33.0,5.1,"3 km NNE of Vandiver, Alabama",earthquake,1916,October
1916-10-11 05:49:09+00:00,41.5,-116.5,33.0,5.0,"59 km SSW of Owyhee, Nevada",earthquake,1916,October
1916-11-10 09:11:00+00:00,35.5,-116.0,33.0,6.1,"26 km NNE of Baker, California",earthquake,1916,November
1917-04-11 18:59:55+00:00,40.0,-118.0,33.0,5.1,"45 km ESE of Lovelock, Nevada",earthquake,1917,April
1917-04-09 20:52:00+00:00,38.1,-90.2,33.0,5.1,"7 km S of Fults, Illinois",earthquake,1917,April
1917-05-28 06:06:00+00:00,32.8,-115.3,33.0,5.5,"7 km E of Holtville, California",earthquake,1917,May
1917-06-10 04:32:24+00:00,44.0,-129.0,33.0,6.5,off the coast of Oregon,earthquake,1917,June
1917-12-12 10:50:00+00:00,43.0,-111.3,33.0,5.3,"20 km W of Freedom, Idaho",earthquake,1917,December
1918-02-13 02:31:43+00:00,-5.561,102.903,25.0,6.35,"174 km SSW of Pagar Alam, Indonesia",earthquake,1918,February
1918-05-01 04:32:00+00:00,32.7,-115.5,33.0,5.0,"2 km N of Calexico, California",earthquake,1918,May
1918-06-06 22:32:00+00:00,33.8,-117.0,33.0,5.0,"4 km WNW of San Jacinto, California",earthquake,1918,June
1918-11-02 10:01:10+00:00,19.4,-155.3,33.0,6.2,"8 km SW of Volcano, Hawaii",earthquake,1918,November
1919-02-16 15:57:00+00:00,35.0,-119.0,33.0,5.0,"7 km SSW of Mettler, California",earthquake,1919,February
1919-09-15 03:50:00+00:00,19.0,-155.5,33.0,6.1,"11 km SE of Naalehu, Hawaii",earthquake,1919,September
1919-11-18 21:54:41+00:00,39.176,27.652,10.0,7.0,"3 km ESE of Soma, Turkey",earthquake,1919,November
1919-12-19 13:58:13+00:00,38.3,-119.5,33.0,5.2,"23 km S of Walker, California",earthquake,1919,December
1920-01-24 07:09:16+00:00,48.8,-123.0,33.0,5.5,"21 km SSE of Point Roberts, Washington",earthquake,1920,January
1920-01-01 02:35:00+00:00,33.2,-116.7,33.0,5.0,"16 km NW of Julian, California",earthquake,1920,January
1920-10-05 19:03:58+00:00,36.58,-121.67,33.0,5.2,"5 km SSW of Spreckels, California",earthquake,1920,October
1921-09-29 14:12:00+00:00,38.7,-112.1,33.0,5.2,"0 km SSW of Central Valley, Utah",earthquake,1921,September
1922-01-26 09:31:20+00:00,41.0,-126.0,33.0,6.0,"153 km WNW of Indianola, California",earthquake,1922,January
1922-03-16 23:11:00+00:00,35.75,-120.33,33.0,5.0,"11 km NNE of Shandon, California",earthquake,1922,March
1922-04-11 00:18:37+00:00,-13.015,166.57,35.0,6.4,"142 km NW of Sola, Vanuatu",earthquake,1922,April
1922-08-18 05:12:00+00:00,35.75,-120.33,33.0,5.0,"11 km NNE of Shandon, California",earthquake,1922,August
1922-11-11 04:32:51+00:00,-28.293,-69.852,70.0,8.5,"94 km ENE of Vallenar, Chile",earthquake,1922,November
1923-01-11 04:29:00+00:00,42.2,-120.3,33.0,5.0,"3 km ENE of Lakeview, Oregon",earthquake,1923,January
1923-02-09 11:14:00+00:00,40.83,-124.17,33.0,5.0,"1 km NE of Samoa, California",earthquake,1923,February
1923-02-03 16:01:50+00:00,54.486,160.472,15.0,8.4,"121 km ESE of Mil’kovo, Russia",earthquake,1923,February
1923-04-29 02:31:29+00:00,41.0,-125.0,33.0,5.6,"71 km WNW of Samoa, California",earthquake,1923,April
1923-04-25 19:31:53+00:00,59.0,-138.0,33.0,5.75,"115 km ESE of Yakutat, Alaska",earthquake,1923,April
1923-07-17 01:02:11+00:00,63.0,-147.0,33.0,5.6,"70 km W of Paxson, Alaska",earthquake,1923,July
1923-07-13 23:56:21+00:00,30.482,131.048,35.0,6.63,"28 km S of Nishinoomote, Japan",earthquake,1923,July
1923-11-07 23:57:00+00:00,32.5,-115.5,33.0,5.7,"11 km SE of Progreso, Mexico",earthquake,1923,November
1923-11-05 22:07:00+00:00,32.5,-115.5,33.0,5.0,"11 km SE of Progreso, Mexico",earthquake,1923,November
1924-02-24 05:45:10+00:00,44.0,-127.0,33.0,5.75,"228 km WNW of Barview, Oregon",earthquake,1924,February
1924-08-20 16:50:00+00:00,19.25,-155.55,33.0,5.0,"9 km NW of P?hala, Hawaii",earthquake,1924,August
1925-02-02 22:12:52+00:00,42.854,147.804,15.0,6.15,"136 km SE of Shikotan, Russia",earthquake,1925,February
1925-06-29 14:42:16+00:00,34.3,-119.8,10.0,6.82,"14km SSE of Isla Vista, CA",earthquake,1925,June
1925-06-04 12:02:52+00:00,41.5,-125.0,33.0,6.0,"72 km WSW of Crescent City, California",earthquake,1925,June
1925-07-08 11:27:42+00:00,18.61,-61.367,15.0,5.57,"118 km NNE of Codrington, Antigua and Barbuda",earthquake,1925,July
1925-09-25 08:45:17+00:00,-6.917,102.646,15.0,6.06,"southwest of Sumatra, Indonesia",earthquake,1925,September
1926-02-18 18:20:45+00:00,34.0,-119.5,33.0,5.5,"30 km SW of Channel Islands Beach, California",earthquake,1926,February
1926-03-20 09:03:00+00:00,20.5,-155.5,33.0,6.0,"41 km NE of Hala‘ula, Hawaii",earthquake,1926,March
1926-04-03 20:09:00+00:00,34.0,-116.0,33.0,5.5,"15 km SSE of Twentynine Palms, California",earthquake,1926,April
1926-06-29 23:21:00+00:00,34.5,-119.5,33.0,5.5,"10 km NE of Toro Canyon, California",earthquake,1926,June
1926-10-22 12:35:00+00:00,36.617,-122.35,33.0,6.1,"36 km W of Del Monte Forest, California",earthquake,1926,October
1926-12-27 09:19:00+00:00,36.17,-120.32,33.0,5.0,"4 km NE of Coalinga, California",earthquake,1926,December
1926-12-13 00:44:00+00:00,46.1,-111.2,33.0,5.4,"14 km ENE of Ponderosa Pines, Montana",earthquake,1926,December
1927-03-20 15:21:42+00:00,20.5,-155.25,33.0,6.0,"51 km NNE of Honoka‘a, Hawaii",earthquake,1927,March
1927-05-23 23:45:06+00:00,37.59,101.753,15.0,5.84,"86 km WSW of Wuwei, China",earthquake,1927,May
1927-08-20 20:05:44+00:00,41.0,-124.6,33.0,5.3,"38 km W of Trinidad, California",earthquake,1927,August
1927-08-04 12:24:00+00:00,34.0,-118.5,33.0,5.3,"2 km SSW of Santa Monica, California",earthquake,1927,August
1927-10-27 07:31:34+00:00,-15.28,127.158,15.0,5.75,"178 km WNW of Kununurra, Australia",earthquake,1927,October
1927-10-08 12:26:17+00:00,34.449,143.559,15.0,5.82,"286 km ESE of Hasaki, Japan",earthquake,1927,October
1927-11-19 03:32:30+00:00,35.0,-120.5,33.0,5.0,"5 km SSW of Nipomo, California",earthquake,1927,November
1928-01-30 03:15:25+00:00,-34.116,58.265,10.0,6.38,South Indian Ocean,earthquake,1928,January
1928-03-25 18:29:07+00:00,-36.359,-178.283,15.0,5.59,east of the North Island of New Zealand,earthquake,1928,March
1928-04-18 21:40:00+00:00,34.1,-119.3,33.0,5.2,"9 km SW of Channel Islands Beach, California",earthquake,1928,April
1928-09-05 14:42:00+00:00,34.0,-116.0,33.0,5.0,"15 km SSE of Twentynine Palms, California",earthquake,1928,September
1928-09-05 05:36:00+00:00,42.1,-115.2,33.0,5.2,"45 km WNW of Jackpot, Nevada",earthquake,1928,September
1928-10-02 19:01:00+00:00,32.9,-115.7,33.0,5.0,"11 km N of Seeley, California",earthquake,1928,October
1929-02-16 03:00:00+00:00,46.1,-111.3,33.0,5.6,"9 km NE of Ponderosa Pines, Montana",earthquake,1929,February
1929-05-22 20:06:21+00:00,-61.845,153.888,10.0,6.29,Balleny Islands region,earthquake,1929,May
1929-06-23 21:47:09+00:00,8.912,127.312,15.0,5.79,"110 km E of Aras-asan, Philippines",earthquake,1929,June
1929-07-11 13:37:18+00:00,53.349,-170.084,35.0,5.6,"93 km WNW of Nikolski, Alaska",earthquake,1929,July
1929-07-06 02:03:54+00:00,51.378,-177.323,25.0,6.21,"72 km SW of Adak, Alaska",earthquake,1929,July
1929-09-26 04:50:56+00:00,19.75,-156.0,33.0,5.6,"3 km NW of Kalaoa, Hawaii",earthquake,1929,September
1929-11-28 19:49:00+00:00,36.9,-118.2,33.0,5.5,"10 km N of Independence, California",earthquake,1929,November
1929-11-04 15:32:27+00:00,-9.987,160.496,15.0,5.94,"85 km SE of Honiara, Solomon Islands",earthquake,1929,November
1929-12-17 21:27:12+00:00,-5.857,163.374,15.0,6.05,north of the Solomon Islands,earthquake,1929,December
1930-01-25 01:38:14+00:00,7.612,126.458,35.0,6.0,"6 km NW of Mahanob, Philippines",earthquake,1930,January
1930-01-16 00:34:00+00:00,34.2,-116.9,33.0,5.1,"4 km SSE of Big Bear Lake, California",earthquake,1930,January
1930-01-16 00:24:34+00:00,34.2,-116.9,33.0,5.25,"4 km SSE of Big Bear Lake, California",earthquake,1930,January
1930-02-26 02:30:00+00:00,33.0,-115.5,33.0,5.0,"3 km NE of Brawley, California",earthquake,1930,February
1930-08-05 11:25:00+00:00,34.5,-119.5,33.0,5.0,"10 km NE of Toro Canyon, California",earthquake,1930,August
1930-09-23 02:56:55+00:00,40.83,-124.17,33.0,5.0,"1 km NE of Samoa, California",earthquake,1930,September
1930-10-11 03:06:25+00:00,71.744,-13.234,10.0,5.68,Jan Mayen Island region,earthquake,1930,October
1930-12-11 12:27:00+00:00,40.92,-124.08,33.0,5.0,"3 km SSE of McKinleyville, California",earthquake,1930,December
1930-12-11 08:58:55+00:00,40.08,-124.5,33.0,5.0,"36 km W of Shelter Cove, California",earthquake,1930,December
1930-12-06 07:03:28+00:00,53.0,-172.0,80.0,6.5,"173 km ENE of Atka, Alaska",earthquake,1930,December
1931-01-27 14:29:03+00:00,60.75,-149.0,33.0,5.6,"17 km W of Whittier, Alaska",earthquake,1931,January
1931-01-06 23:28:40+00:00,36.5,-124.4,33.0,5.0,"198 km WSW of Pescadero, California",earthquake,1931,January
1931-03-29 17:24:58+00:00,51.0,-170.0,33.0,6.0,"229 km SSW of Nikolski, Alaska",earthquake,1931,March
1931-03-10 03:28:53+00:00,40.0,-125.0,33.0,5.6,near the coast of Northern California,earthquake,1931,March
1931-05-30 11:34:24+00:00,53.38,173.594,25.0,5.8,"65 km NNE of Attu Station, Alaska",earthquake,1931,May
1931-05-30 11:34:16+00:00,52.2,173.3,33.0,6.0,"72 km S of Attu Station, Alaska",earthquake,1931,May
1931-05-29 05:16:32+00:00,63.0,-149.0,33.0,5.6,"44 km S of Cantwell, AK",earthquake,1931,May
1931-05-27 00:43:35+00:00,28.33,99.087,35.0,5.53,"82 km NW of Shangri-La, China",earthquake,1931,May
1931-07-20 08:30:32+00:00,-15.564,-173.369,35.0,6.34,"62 km NE of Hihifo, Tonga",earthquake,1931,July
1931-08-14 16:12:03+00:00,52.5,-168.0,33.0,6.0,"75 km SE of Nikolski, Alaska",earthquake,1931,August
1931-09-09 13:40:30+00:00,40.8,-125.0,33.0,5.8,near the coast of Northern California,earthquake,1931,September
1931-10-17 12:34:50+00:00,63.0,-147.0,33.0,5.6,"70 km W of Paxson, Alaska",earthquake,1931,October
1931-12-24 03:40:40+00:00,60.0,-152.0,100.0,6.25,"16 km WNW of Happy Valley, Alaska",earthquake,1931,December
1931-12-04 00:53:00+00:00,36.5,-121.67,33.0,5.1,"8 km E of Carmel Valley Village, California",earthquake,1931,December
1932-02-26 16:58:00+00:00,36.0,-121.0,33.0,5.0,"8 km WSW of San Ardo, California",earthquake,1932,February
1932-03-25 23:54:51+00:00,62.5,-153.0,33.0,6.0,"90 km SE of Nikolai, Alaska",earthquake,1932,March
1932-03-02 17:40:48+00:00,43.0,-131.0,33.0,6.0,off the coast of Oregon,earthquake,1932,March
1932-03-02 17:14:36+00:00,40.2,-127.0,33.0,5.6,"236 km W of Ferndale, California",earthquake,1932,March
1932-04-22 04:58:08+00:00,-4.853,103.032,35.0,5.99,"94 km SSW of Pagar Alam, Indonesia",earthquake,1932,April
1932-07-18 06:01:55+00:00,47.75,-121.83,33.0,5.2,"9 km NE of Lake Marcel-Stillwater, Washington",earthquake,1932,July
1932-11-29 11:11:00+00:00,-32.177,-71.331,35.0,6.59,"31 km NNW of La Ligua, Chile",earthquake,1932,November
1932-12-29 06:45:08+00:00,38.8,-118.0,33.0,5.0,"10 km SW of Gabbs, Nevada",earthquake,1932,December
1932-12-29 06:38:03+00:00,38.8,-118.0,33.0,5.0,"10 km SW of Gabbs, Nevada",earthquake,1932,December
1932-12-29 06:20:28+00:00,38.8,-118.0,33.0,5.2,"10 km SW of Gabbs, Nevada",earthquake,1932,December
1932-12-26 05:03:00+00:00,38.75,-118.0,33.0,5.3,"14 km SSW of Gabbs, Nevada",earthquake,1932,December
1932-12-25 03:54:45+00:00,38.8,-118.0,33.0,5.5,"10 km SW of Gabbs, Nevada",earthquake,1932,December
1932-12-24 12:40:49+00:00,38.8,-118.0,33.0,5.0,"10 km SW of Gabbs, Nevada",earthquake,1932,December
1933-01-29 13:51:11+00:00,38.5,-118.0,33.0,5.0,"15 km NE of Mina, Nevada",earthquake,1933,January
1933-01-11 17:29:38+00:00,38.9,-117.8,33.0,5.2,"11 km ENE of Gabbs, Nevada",earthquake,1933,January
1933-01-06 13:05:56+00:00,39.0,-117.8,33.0,5.1,"18 km NE of Gabbs, Nevada",earthquake,1933,January
1933-02-13 22:08:45+00:00,38.7,-117.9,33.0,5.5,"18 km S of Gabbs, Nevada",earthquake,1933,February
1933-03-26 19:05:53+00:00,43.5,-129.0,33.0,5.5,off the coast of Oregon,earthquake,1933,March
1933-03-12 20:44:20+00:00,38.8,-117.6,33.0,5.0,"28 km ESE of Gabbs, Nevada",earthquake,1933,March
1933-03-11 14:25:00+00:00,33.85,-118.266,16.0,5.0,"2 km NE of Carson, California",earthquake,1933,March
1933-03-02 17:31:00+00:00,39.209,144.59,15.0,8.4,"1933 Sanriku (Sanriku-oki) Earthquake, Japan",earthquake,1933,March
1933-05-09 09:46:25+00:00,38.5,-117.9,33.0,5.1,"21 km ENE of Mina, Nevada",earthquake,1933,May
1933-06-11 08:34:31+00:00,38.8,-117.5,33.0,5.2,"37 km ESE of Gabbs, Nevada",earthquake,1933,June
1933-06-04 14:08:22+00:00,38.5,-118.16,16.0,5.2,"12 km NNW of Mina, Nevada",earthquake,1933,June
1933-07-26 04:57:26+00:00,63.0,-147.0,33.0,5.6,"70 km W of Paxson, Alaska",earthquake,1933,July
1933-07-19 10:55:53+00:00,51.75,-174.0,33.0,6.0,"51 km SSE of Atka, Alaska",earthquake,1933,July
1933-07-11 06:49:59+00:00,34.727,141.948,35.0,5.69,"150 km SE of Hasaki, Japan",earthquake,1933,July
1933-10-27 10:58:54+00:00,38.9,-117.6,33.0,5.5,"28 km E of Gabbs, Nevada",earthquake,1933,October
1933-12-17 23:04:24+00:00,44.488,80.8,15.0,5.63,"48 km N of Huocheng, China",earthquake,1933,December
1933-12-13 15:34:37+00:00,37.2,-122.0,33.0,5.0,"3 km SW of Los Gatos, California",earthquake,1933,December
1934-01-30 23:39:38+00:00,38.3,-118.4,33.0,5.4,"27 km WSW of Mina, Nevada",earthquake,1934,January
1934-01-30 19:23:29+00:00,38.3,-118.4,33.0,5.5,"27 km WSW of Mina, Nevada",earthquake,1934,January
1934-02-01 11:45:54+00:00,38.3,-118.4,33.0,5.4,"27 km WSW of Mina, Nevada",earthquake,1934,February
1934-02-01 11:18:51+00:00,38.5,-118.25,33.0,5.2,"17 km NW of Mina, Nevada",earthquake,1934,February
1934-02-01 11:00:54+00:00,38.3,-118.4,33.0,5.0,"27 km WSW of Mina, Nevada",earthquake,1934,February
1934-03-21 03:39:51+00:00,34.783,139.068,15.0,5.25,"16 km NE of Shimoda, Japan",earthquake,1934,March
1934-03-15 12:01:00+00:00,41.5,-112.5,33.0,5.1,"27 km SW of Thatcher, Utah",earthquake,1934,March
1934-03-12 18:12:00+00:00,41.5,-112.5,33.0,5.1,"27 km SW of Thatcher, Utah",earthquake,1934,March
1934-03-12 15:05:48+00:00,41.658,-112.795,8.5,6.6,"The 1934 Hansel Valley Earthquake, Utah",earthquake,1934,March
1934-04-15 12:09:00+00:00,38.0,-115.0,33.0,5.0,"48 km W of Pioche, Nevada",earthquake,1934,April
1934-04-14 21:26:32+00:00,41.5,-112.5,33.0,5.25,"27 km SW of Thatcher, Utah",earthquake,1934,April
1934-04-07 02:16:00+00:00,41.5,-111.5,33.0,5.5,"26 km E of Avon, Utah",earthquake,1934,April
1934-05-06 08:09:49+00:00,41.5,-113.0,33.0,5.5,"56 km SW of Howell, Utah",earthquake,1934,May
1934-11-17 17:42:00+00:00,40.5,-124.08,33.0,5.0,"2 km E of Rio Dell, California",earthquake,1934,November
1935-01-02 17:17:00+00:00,19.418,-155.283,4.0,5.9,"5 km WSW of Volcano, Hawaii",earthquake,1935,January
1935-04-19 15:23:24+00:00,31.316,15.289,15.0,6.8,near the coast of Libya,earthquake,1935,April
1935-06-28 19:30:05+00:00,19.5,-155.25,33.0,5.6,"6 km NNW of Volcano, Hawaii",earthquake,1935,June
1935-06-03 17:08:00+00:00,41.0,-124.0,33.0,5.0,"4 km NE of Fieldbrook, California",earthquake,1935,June
1935-10-12 07:50:39+00:00,46.6,-112.0,5.0,5.9,"2 km ENE of Helena, Montana",earthquake,1935,October
1935-11-28 14:41:48+00:00,46.6,-112.0,33.0,5.0,"2 km ENE of Helena, Montana",earthquake,1935,November
1935-11-21 11:41:00+00:00,19.516,-155.518,33.0,5.6,"30 km WNW of Volcano, Hawaii",earthquake,1935,November
1936-01-18 01:20:00+00:00,62.0,-152.0,33.0,5.6,"31 km W of Skwentna, Alaska",earthquake,1936,January
1936-06-03 09:15:00+00:00,40.16,-126.45,33.0,5.8,"191 km WSW of Ferndale, California",earthquake,1936,June
1936-07-02 16:29:00+00:00,39.2,-117.5,33.0,5.0,"37 km W of Kingston, Nevada",earthquake,1936,July
1936-09-06 17:39:33+00:00,-21.908,-174.568,15.0,6.2,"74 km SSE of ‘Ohonua, Tonga",earthquake,1936,September
1936-10-10 01:25:32+00:00,40.3,-126.0,33.0,5.0,"150 km WSW of Ferndale, California",earthquake,1936,October
1936-11-05 20:46:18+00:00,43.0,-131.0,33.0,6.0,off the coast of Oregon,earthquake,1936,November
